var,var,var,var,pt2,pt2,pt2,pt2
0.004,0.003,0.002,0.001,0.004,0.003,0.002,0.001
-90.57347811,   -90.57351595	,		-90.57354583,       -90.57355464,	-90.57358104,	-90.57358477,	 -90.57358857,   -90.57358952
-90.50711405,	-90.5071466	    ,		-90.50718279		,-90.50719118,	-90.50723735,	-90.50724212,   -90.50724711,	 -90.50724811
-90.50630899,	-90.5063418	    ,		-90.5063747	        ,-90.50638585,	-90.50642309,	-90.50642755,   -90.50643213,	-90.50643367
-90.5058534,	-90.50588878	,		-90.50592082		,-90.50593037,	-90.50597118,	-90.50597656,   -90.50598086,	-90.50598201   
-90.5052742	,	-90.50530422	,		-90.50533379		,-90.50534746,	-90.50538459,	-90.50538848,   -90.50539247,   -90.50539415   
-90.44017212,	-90.44020912	,		-90.44026809		,-90.44028295,	-90.44050715,	-90.4405143	 ,  -90.44052398,	-90.44052699
-90.43985427,	-90.43988813	,		-90.43994929		,-90.4399674,   -90.44015589,	-90.44016143,   -90.44017292,   -90.44017527
-90.43978804,	-90.43982497	,		-90.43989037		,-90.43990563,	-90.44009246,	-90.44009728,   -90.44011057,	-90.44011316
-90.43969869,	-90.43972776	,		-90.43979166		,-90.43981095,	-90.4399743,	-90.43997773,   -90.43998946,	-90.43999374
-90.43955686,	-90.43958767	,		-90.43963728		,-90.43964842,	-90.43986374,	-90.43986834,   -90.43987789,	-90.43987957
-90.43946474,   -90.4395064,		    -90.43955848		,-90.43957284,	-90.43976974,   -90.43977548 ,  -90.4397854,    -90.43978543
-90.43916367,   -90.43920219	,    	-90.43926501		,-90.4392781,   -90.43943991,	-90.43944565,   -90.4394564,    -90.43945818
-90.43905222,	-90.43908641	,		-90.43914111		,-90.43914925,	-90.4393419,	-90.43934579,   -90.43935607,	-90.43935615
-90.43881474,	-90.43884476	,		-90.43890747		,-90.43891651,	-90.43907636,	-90.43908071,   -90.43909136,	-90.43909291
-90.43862609,	-90.43866321	,	    -90.43871112	    ,-90.43872823,	-90.43887104,	-90.43887713,   -90.43888472,	-90.43888818
-90.43837323,	-90.43841144	,		-90.43845556		,-90.43847298,	-90.4386082,	-90.43861462 ,  -90.43862208,	-90.43862443
-90.43817267,	-90.43820868	,		-90.43826236		,-90.43827543,	-90.43839014,	-90.43839649,   -90.43840528,	-90.43840766
-90.43799789,   -90.43802536	,		-90.43807462		,-90.43808931,	-90.43823154,	-90.43823636,   -90.4382451,	-90.43824754
-90.43796963,	-90.43799336	,		-90.43804944		,-90.43805866,	-90.43820046,	-90.43820409,   -90.43821379,	-90.43821506
-90.4379267	,	-90.43795357	,		-90.43800433		,-90.43801768,	-90.43814771,	-90.43815254,   -90.43816072,	-90.43816311
-90.43762988,	-90.43766372	,		-90.43770692		,-90.43772367,	-90.43786298,	-90.43786836,   -90.43787588,	-90.43787771
-90.43757955,	-90.43760859,		    -90.43765587		,-90.43766562,	-90.43780936,   -90.43781422,   -90.43782222,	-90.43782335
-90.43741556,	-90.43745284	,	    -90.43749228		,-90.4375084,   -90.43762324,	-90.43762998,   -90.43763566,   -90.4376385
-90.43337136,	-90.43343487	,		-90.43348904		,-90.4335058,   -90.43377227,	-90.43378161,   -90.43377456,   -90.43379249
-90.43069962,	-90.43074471	,		-90.43079033		,-90.43080695,	-90.43115188,	-90.43116047,   -90.43116824,   -90.43117118
-90.43036688,	-90.43039831	,		-90.43043949		,-90.43044771,	-90.43055754,	-90.43056201,   -90.43056882,	-90.43057094
-90.42976366,	-90.42978913	,		-90.42983253		,-90.42984394,	-90.42991964,	-90.42992341,   -90.42993075,	-90.42993245
-90.4294588	,   -90.42949488	,		-90.42952882		,-90.42953878,	-90.42963652,   -90.42964293,   -90.4296488,	-90.42965038
-90.42940126,   -90.429448,   	        -90.42949944		,-90.42951314,	-90.42966725,   -90.42967624,   -90.4296875,	-90.4296902	
-90.42928204,	-90.42932773	,		-90.42935824	    ,-90.42936793,	-90.42944344,	-90.42945181,   -90.42945632,	-90.42945687
-90.42819478,	-90.42825621	,		-90.4282974	    	,-90.42831592,	-90.42854307,	-90.42855536,   -90.42856118,	-90.42856523